顧客ID_チャネル,地域,生鮮食品,乳製品,食料品,冷凍食品,洗剤_紙類,惣菜
Cust91_Horeca,3,11405,596,1638,3347,69,360
Cust92_Horeca,3,12754,2762,2530,8693,627,1117
Cust93_Retail,3,9198,27472,32034,3232,18906,5130
Cust94_Horeca,3,11314,3090,2062,35009,71,2698
Cust95_Retail,3,5626,12220,11323,206,5038,244
Cust96_Horeca,3,3,2920,6252,440,223,709
Cust97_Retail,3,23,2616,8118,145,3874,217
Cust98_Horeca,3,403,254,610,774,54,63
Cust99_Horeca,3,503,112,778,895,56,132
Cust100_Horeca,3,9658,2182,1909,5639,215,323
Cust101_Retail,3,11594,7779,12144,3252,8035,3029
Cust102_Retail,3,1420,10810,16267,1593,6766,1838
Cust103_Retail,3,2932,6459,7677,2561,4573,1386
Cust104_Horeca,3,56082,3504,8906,18028,1480,2498
Cust105_Horeca,3,14100,2132,3445,1336,1491,548
Cust106_Horeca,3,15587,1014,3970,910,139,1378
Cust107_Retail,3,1454,6337,10704,133,6830,1831
Cust108_Retail,3,8797,10646,14886,2471,8969,1438
Cust109_Retail,3,1531,8397,6981,247,2505,1236
Cust110_Retail,3,1406,16729,28986,673,836,3
Cust111_Horeca,3,11818,1648,1694,2276,169,1647
Cust112_Retail,3,12579,11114,17569,805,6457,1519
Cust113_Horeca,3,19046,2770,2469,8853,483,2708
Cust114_Horeca,3,14438,2295,1733,3220,585,1561
Cust115_Horeca,3,18044,1080,2000,2555,118,1266
Cust116_Horeca,3,11134,793,2988,2715,276,610
Cust117_Horeca,3,11173,2521,3355,1517,310,222
Cust118_Horeca,3,6990,3880,5380,1647,319,1160
Cust119_Horeca,3,20049,1891,2362,5343,411,933
Cust120_Horeca,3,8258,2344,2147,3896,266,635
Cust121_Horeca,3,17160,1200,3412,2417,174,1136
Cust122_Horeca,3,4020,3234,1498,2395,264,255
Cust123_Horeca,3,12212,201,245,1991,25,860
Cust124_Retail,3,11170,10769,8814,2194,1976,143
Cust125_Horeca,3,36050,1642,2961,4787,500,1621
Cust126_Horeca,3,76237,3473,7102,16538,778,918
Cust127_Horeca,3,19219,1840,1658,8195,349,483
Cust128_Retail,3,21465,7243,10685,880,2386,2749
Cust129_Horeca,3,140,8847,3823,142,1062,3
Cust130_Horeca,3,42312,926,1510,1718,410,1819
Cust131_Horeca,3,7149,2428,699,6316,395,911
Cust132_Horeca,3,2101,589,314,346,70,310
Cust133_Horeca,3,14903,2032,2479,576,955,328
Cust134_Horeca,3,9434,1042,1235,436,256,396
Cust135_Horeca,3,7388,1882,2174,720,47,537
Cust136_Horeca,3,6300,1289,2591,1170,199,326
Cust137_Horeca,3,4625,8579,7030,4575,2447,1542
Cust138_Horeca,3,3087,8080,8282,661,721,36
Cust139_Horeca,3,13537,4257,5034,155,249,3271
Cust140_Horeca,3,5387,4979,3343,825,637,929
Cust141_Horeca,3,17623,4280,7305,2279,960,2616
Cust142_Horeca,3,30379,13252,5189,321,51,1450
Cust143_Horeca,3,37036,7152,8253,2995,20,3
Cust144_Horeca,3,10405,1596,1096,8425,399,318
Cust145_Horeca,3,18827,3677,1988,118,516,201
Cust146_Retail,3,22039,8384,34792,42,12591,4430
Cust147_Horeca,3,7769,1936,2177,926,73,520
Cust148_Horeca,3,9203,3373,2707,1286,1082,526
Cust149_Horeca,3,5924,584,542,4052,283,434
Cust150_Horeca,3,31812,1433,1651,800,113,1440
Cust151_Horeca,3,16225,1825,1765,853,170,1067
Cust152_Horeca,3,1289,3328,2022,531,255,1774
Cust153_Horeca,3,18840,1371,3135,3001,352,184
Cust154_Horeca,3,3463,9250,2368,779,302,1627
Cust155_Horeca,3,622,55,137,75,7,8
Cust156_Retail,3,1989,10690,19460,233,11577,2153
Cust157_Retail,3,3830,5291,14855,317,6694,3182
Cust158_Horeca,3,17773,1366,2474,3378,811,418
Cust159_Retail,3,2861,6570,9618,930,4004,1682
Cust160_Retail,3,355,7704,14682,398,8077,303
Cust161_Retail,3,1725,3651,12822,824,4424,2157
Cust162_Horeca,3,12434,540,283,1092,3,2233
Cust163_Horeca,3,15177,2024,3810,2665,232,610
Cust164_Retail,3,5531,15726,26870,2367,13726,446
Cust165_Retail,3,5224,7603,8584,2540,3674,238
Cust166_Retail,3,15615,12653,19858,4425,7108,2379
Cust167_Retail,3,4822,6721,9170,993,4973,3637
Cust168_Horeca,3,2926,3195,3268,405,1680,693
Cust169_Horeca,3,5809,735,803,1393,79,429
Cust170_Horeca,3,5414,717,2155,2399,69,750
Cust171_Retail,3,260,8675,13430,1116,7015,323
Cust172_Retail,3,200,25862,19816,651,8773,6250
Cust173_Horeca,3,955,5479,6536,333,2840,707
Cust174_Retail,3,514,7677,19805,937,9836,716
Cust175_Horeca,3,286,1208,5241,2515,153,1442
Cust176_Retail,3,2343,7845,11874,52,4196,1697
Cust177_Horeca,3,45640,6958,6536,7368,1532,230
Cust178_Horeca,3,12759,7330,4533,1752,20,2631
Cust179_Horeca,3,11002,7075,4945,1152,120,395
Cust180_Horeca,3,3157,4888,2500,4477,273,2165
Cust181_Horeca,3,12356,6036,8887,402,1382,2794
Cust182_Horeca,3,112151,29627,18148,16745,4948,8550
Cust183_Horeca,3,694,8533,10518,443,6907,156
Cust184_Horeca,3,36847,43950,20170,36534,239,47943
Cust185_Horeca,3,327,918,4710,74,334,11
Cust186_Horeca,3,8170,6448,1139,2181,58,247
Cust187_Horeca,3,3009,521,854,3470,949,727
Cust188_Horeca,3,2438,8002,9819,6269,3459,3
Cust189_Retail,3,8040,7639,11687,2758,6839,404
Cust190_Retail,3,834,11577,11522,275,4027,1856
Cust191_Horeca,3,16936,6250,1981,7332,118,64
Cust192_Horeca,3,13624,295,1381,890,43,84
Cust193_Horeca,3,5509,1461,2251,547,187,409
Cust194_Retail,3,180,3485,20292,959,5618,666
Cust195_Horeca,3,7107,1012,2974,806,355,1142
Cust196_Horeca,3,17023,5139,5230,7888,330,1755
Cust197_Horeca,1,30624,7209,4897,18711,763,2876
Cust198_Retail,1,2427,7097,10391,1127,4314,1468
Cust199_Horeca,1,11686,2154,6824,3527,592,697
Cust200_Horeca,1,9670,2280,2112,520,402,347
Cust201_Retail,1,3067,13240,23127,3941,9959,731
Cust202_Retail,1,4484,14399,24708,3549,14235,1681
Cust203_Horeca,1,25203,11487,9490,5065,284,6854
Cust204_Horeca,1,583,685,2216,469,954,18
Cust205_Horeca,1,1956,891,5226,1383,5,1328
Cust206_Retail,1,1107,11711,23596,955,9265,710
Cust207_Horeca,1,6373,780,950,878,288,285
Cust208_Retail,1,2541,4737,6089,2946,5316,120
Cust209_Horeca,1,1537,3748,5838,1859,3381,806
Cust210_Retail,1,5550,12729,16767,864,12420,797
Cust211_Horeca,1,18567,1895,1393,1801,244,2100
Cust212_Retail,1,12119,28326,39694,4736,19410,2870
Cust213_Horeca,1,7291,1012,2062,1291,240,1775
Cust214_Horeca,1,3317,6602,6861,1329,3961,1215
Cust215_Retail,1,2362,6551,11364,913,5957,791
Cust216_Horeca,1,2806,10765,15538,1374,5828,2388
Cust217_Retail,1,2532,16599,36486,179,13308,674
Cust218_Horeca,1,18044,1475,2046,2532,130,1158
Cust219_Retail,1,18,7504,15205,1285,4797,6372
Cust220_Horeca,1,4155,367,1390,2306,86,130
Cust221_Horeca,1,14755,899,1382,1765,56,749
Cust222_Horeca,1,5396,7503,10646,91,4167,239
Cust223_Horeca,1,5041,1115,2856,7496,256,375
Cust224_Retail,1,2790,2527,5265,5612,788,1360
Cust225_Horeca,1,7274,659,1499,784,70,659
Cust226_Horeca,1,12680,3243,4157,660,761,786
Cust227_Retail,1,20782,5921,9212,1759,2568,1553
Cust228_Horeca,1,4042,2204,1563,2286,263,689
Cust229_Horeca,1,1869,577,572,950,4762,203
Cust230_Horeca,1,8656,2746,2501,6845,694,980
Cust231_Retail,1,11072,5989,5615,8321,955,2137
Cust232_Horeca,1,2344,10678,3828,1439,1566,490
Cust233_Horeca,1,25962,1780,3838,638,284,834
Cust234_Horeca,1,964,4984,3316,937,409,7
Cust235_Horeca,1,15603,2703,3833,4260,325,2563
Cust236_Horeca,1,1838,6380,2824,1218,1216,295
Cust237_Horeca,1,8635,820,3047,2312,415,225
Cust238_Horeca,1,18692,3838,593,4634,28,1215
Cust239_Horeca,1,7363,475,585,1112,72,216
Cust240_Horeca,1,47493,2567,3779,5243,828,2253
Cust241_Horeca,1,22096,3575,7041,11422,343,2564
Cust242_Horeca,1,24929,1801,2475,2216,412,1047
Cust243_Horeca,1,18226,659,2914,3752,586,578
Cust244_Horeca,1,11210,3576,5119,561,1682,2398
Cust245_Horeca,1,6202,7775,10817,1183,3143,1970
Cust246_Retail,1,3062,6154,13916,230,8933,2784
Cust247_Horeca,1,8885,2428,1777,1777,430,610
Cust248_Horeca,1,13569,346,489,2077,44,659
Cust249_Horeca,1,15671,5279,2406,559,562,572
Cust250_Horeca,1,8040,3795,2070,6340,918,291
Cust251_Horeca,1,3191,1993,1799,1730,234,710
Cust252_Retail,1,6134,23133,33586,6746,18594,5121
Cust253_Horeca,1,6623,1860,4740,7683,205,1693
Cust254_Horeca,1,29526,7961,16966,432,363,1391
Cust255_Horeca,1,10379,17972,4748,4686,1547,3265
Cust256_Horeca,1,31614,489,1495,3242,111,615
Cust257_Horeca,1,11092,5008,5249,453,392,373
Cust258_Horeca,1,8475,1931,1883,5004,3593,987
Cust259_Horeca,1,56083,4563,2124,6422,730,3321
Cust260_Horeca,1,53205,4959,7336,3012,967,818
Cust261_Horeca,1,9193,4885,2157,327,780,548
Cust262_Horeca,1,7858,1110,1094,6818,49,287
Cust263_Horeca,1,23257,1372,1677,982,429,655
Cust264_Horeca,1,2153,1115,6684,4324,2894,411
Cust265_Retail,1,1073,9679,15445,61,5980,1265
Cust266_Horeca,1,5909,23527,13699,10155,830,3636
Cust267_Retail,1,572,9763,22182,2221,4882,2563
Cust268_Horeca,1,20893,1222,2576,3975,737,3628
Cust269_Retail,1,11908,8053,19847,1069,6374,698
Cust270_Horeca,1,15218,258,1138,2516,333,204
Cust271_Horeca,1,4720,1032,975,5500,197,56
Cust272_Horeca,1,2083,5007,1563,1120,147,1550
Cust273_Horeca,1,514,8323,6869,529,93,1040
Cust274_Horeca,3,36817,3045,1493,4802,210,1824
Cust275_Horeca,3,894,1703,1841,744,759,1153
Cust276_Horeca,3,680,1610,223,862,96,379
Cust277_Horeca,3,27901,3749,6964,4479,603,2503
Cust278_Horeca,3,9061,829,683,16919,621,139
Cust279_Horeca,3,11693,2317,2543,5845,274,1409
Cust280_Retail,3,17360,6200,9694,1293,3620,1721
Cust281_Horeca,3,3366,2884,2431,977,167,1104
Cust282_Retail,3,12238,7108,6235,1093,2328,2079
Cust283_Horeca,3,49063,3965,4252,5970,1041,1404
Cust284_Horeca,3,25767,3613,2013,10303,314,1384
Cust285_Horeca,3,68951,4411,12609,8692,751,2406
Cust286_Horeca,3,40254,640,3600,1042,436,18
Cust287_Horeca,3,7149,2247,1242,1619,1226,128
Cust288_Horeca,3,15354,2102,2828,8366,386,1027
Cust289_Horeca,3,16260,594,1296,848,445,258
Cust290_Horeca,3,42786,286,471,1388,32,22
Cust291_Horeca,3,2708,2160,2642,502,965,1522
Cust292_Horeca,3,6022,3354,3261,2507,212,686
Cust293_Horeca,3,2838,3086,4329,3838,825,1060
Cust294_Retail,2,3996,11103,12469,902,5952,741
Cust295_Horeca,2,21273,2013,6550,909,811,1854
Cust296_Retail,2,7588,1897,5234,417,2208,254
Cust297_Horeca,2,19087,1304,3643,3045,710,898
Cust298_Retail,2,8090,3199,6986,1455,3712,531
Cust299_Retail,2,6758,4560,9965,934,4538,1037
Cust300_Horeca,2,444,879,2060,264,290,259
Cust301_Retail,2,16448,6243,6360,824,2662,2005
Cust302_Retail,2,5283,13316,20399,1809,8752,172
Cust303_Retail,2,2886,5302,9785,364,6236,555
Cust304_Retail,2,2599,3688,13829,492,10069,59
Cust305_Retail,2,161,7460,24773,617,11783,2410
Cust306_Retail,2,243,12939,8852,799,3909,211
Cust307_Retail,2,6468,12867,21570,1840,7558,1543
Cust308_Horeca,2,17327,2374,2842,1149,351,925
Cust309_Horeca,2,6987,1020,3007,416,257,656
Cust310_Retail,2,918,20655,13567,1465,6846,806
Cust311_Horeca,2,7034,1492,2405,12569,299,1117
Cust312_Horeca,2,29635,2335,8280,3046,371,117
Cust313_Retail,2,2137,3737,19172,1274,17120,142
Cust314_Horeca,2,9784,925,2405,4447,183,297
Cust315_Horeca,2,10617,1795,7647,1483,857,1233
Cust316_Retail,2,1479,14982,11924,662,3891,3508
Cust317_Horeca,2,7127,1375,2201,2679,83,1059
Cust318_Horeca,2,1182,3088,6114,978,821,1637
Cust319_Horeca,2,11800,2713,3558,2121,706,51
Cust320_Retail,2,9759,25071,17645,1128,12408,1625
Cust321_Horeca,2,1774,3696,2280,514,275,834
Cust322_Horeca,2,9155,1897,5167,2714,228,1113
Cust323_Horeca,2,15881,713,3315,3703,1470,229
Cust324_Horeca,2,13360,944,11593,915,1679,573
Cust325_Horeca,2,25977,3587,2464,2369,140,1092
Cust326_Horeca,2,32717,16784,13626,60869,1272,5609
Cust327_Horeca,2,4414,1610,1431,3498,387,834
Cust328_Horeca,2,542,899,1664,414,88,522
Cust329_Horeca,2,16933,2209,3389,7849,210,1534
Cust330_Horeca,2,5113,1486,4583,5127,492,739
Cust331_Horeca,2,9790,1786,5109,3570,182,1043
Cust332_Retail,2,11223,14881,26839,1234,9606,1102
Cust333_Horeca,2,22321,3216,1447,2208,178,2602
Cust334_Retail,2,8565,4980,67298,131,38102,1215
Cust335_Retail,2,16823,928,2743,11559,332,3486
Cust336_Retail,2,27082,6817,10790,1365,4111,2139
Cust337_Horeca,2,13970,1511,1330,650,146,778
Cust338_Horeca,2,9351,1347,2611,8170,442,868
Cust339_Horeca,2,3,333,7021,15601,15,550
Cust340_Horeca,2,2617,1188,5332,9584,573,1942
Cust341_Retail,3,381,4025,9670,388,7271,1371
Cust342_Retail,3,2320,5763,11238,767,5162,2158
Cust343_Horeca,3,255,5758,5923,349,4595,1328
Cust344_Retail,3,1689,6964,26316,1456,15469,37
Cust345_Horeca,3,3043,1172,1763,2234,217,379
Cust346_Horeca,3,1198,2602,8335,402,3843,303
Cust347_Retail,3,2771,6939,15541,2693,6600,1115
Cust348_Retail,3,27380,7184,12311,2809,4621,1022
Cust349_Horeca,3,3428,2380,2028,1341,1184,665
Cust350_Retail,3,5981,14641,20521,2005,12218,445
Cust351_Horeca,3,3521,1099,1997,1796,173,995
Cust352_Retail,3,1210,10044,22294,1741,12638,3137
Cust353_Horeca,3,608,1106,1533,830,90,195
Cust354_Retail,3,117,6264,21203,228,8682,1111
Cust355_Horeca,3,14039,7393,2548,6386,1333,2341
Cust356_Horeca,3,190,727,2012,245,184,127
Cust357_Horeca,3,22686,134,218,3157,9,548
Cust358_Retail,3,37,1275,22272,137,6747,110
Cust359_Horeca,3,759,18664,1660,6114,536,4100
Cust360_Horeca,3,796,5878,2109,340,232,776
Cust361_Horeca,3,19746,2872,2006,2601,468,503
Cust362_Horeca,3,4734,607,864,1206,159,405
Cust363_Horeca,3,2121,1601,2453,560,179,712
Cust364_Horeca,3,4627,997,4438,191,1335,314
Cust365_Horeca,3,2615,873,1524,1103,514,468
Cust366_Retail,3,4692,6128,8025,1619,4515,3105
Cust367_Horeca,3,9561,2217,1664,1173,222,447
Cust368_Horeca,3,3477,894,534,1457,252,342
Cust369_Horeca,3,22335,1196,2406,2046,101,558
Cust370_Horeca,3,6211,337,683,1089,41,296
Cust371_Retail,3,39679,3944,4955,1364,523,2235
Cust372_Horeca,3,20105,1887,1939,8164,716,790
Cust373_Horeca,3,3884,3801,1641,876,397,4829
Cust374_Retail,3,15076,6257,7398,1504,1916,3113
Cust375_Horeca,3,6338,2256,1668,1492,311,686
Cust376_Horeca,3,5841,1450,1162,597,476,70
Cust377_Retail,3,3136,8630,13586,5641,4666,1426
Cust378_Horeca,3,38793,3154,2648,1034,96,1242
Cust379_Horeca,3,3225,3294,1902,282,68,1114
Cust380_Retail,3,4048,5164,10391,130,813,179
Cust381_Horeca,3,28257,944,2146,3881,600,270
Cust382_Horeca,3,17770,4591,1617,9927,246,532
Cust383_Horeca,3,34454,7435,8469,2540,1711,2893
Cust384_Horeca,3,1821,1364,3450,4006,397,361
Cust385_Horeca,3,10683,21858,15400,3635,282,5120
Cust386_Horeca,3,11635,922,1614,2583,192,1068
Cust387_Horeca,3,1206,3620,2857,1945,353,967
Cust388_Horeca,3,20918,1916,1573,1960,231,961
Cust389_Horeca,3,9785,848,1172,1677,200,406
Cust390_Horeca,3,9385,1530,1422,3019,227,684
Cust391_Horeca,3,3352,1181,1328,5502,311,1000
Cust392_Horeca,3,2647,2761,2313,907,95,1827
Cust393_Horeca,3,518,4180,3600,659,122,654
Cust394_Horeca,3,23632,6730,3842,8620,385,819
Cust395_Horeca,3,12377,865,3204,1398,149,452
Cust396_Horeca,3,9602,1316,1263,2921,841,290
Cust397_Retail,3,4515,11991,9345,2644,3378,2213
Cust398_Horeca,3,11535,1666,1428,6838,64,743
Cust399_Horeca,3,11442,1032,582,5390,74,247
Cust400_Horeca,3,9612,577,935,1601,469,375
Cust401_Horeca,3,4446,906,1238,3576,153,1014
Cust402_Horeca,3,27167,2801,2128,13223,92,1902
Cust403_Horeca,3,26539,4753,5091,220,10,340
Cust404_Horeca,3,25606,11006,4604,127,632,288
Cust405_Horeca,3,18073,4613,3444,4324,914,715
Cust406_Horeca,3,6884,1046,1167,2069,593,378
Cust407_Horeca,3,25066,5010,5026,9806,1092,960
Cust408_Retail,3,7362,12844,18683,2854,7883,553
Cust409_Retail,3,8257,3880,6407,1646,2730,344
Cust410_Horeca,3,8708,3634,6100,2349,2123,5137
Cust411_Horeca,3,6633,2096,4563,1389,1860,1892
Cust412_Horeca,3,2126,3289,3281,1535,235,4365
Cust413_Horeca,3,97,3605,12400,98,2970,62
Cust414_Horeca,3,4983,4859,6633,17866,912,2435
Cust415_Horeca,3,5969,1990,3417,5679,1135,290
Cust416_Retail,3,7842,6046,8552,1691,3540,1874
Cust417_Retail,3,4389,10940,10908,848,6728,993
Cust418_Horeca,3,5065,5499,11055,364,3485,1063
Cust419_Retail,3,660,8494,18622,133,6740,776
Cust420_Horeca,3,8861,3783,2223,633,1580,1521
Cust421_Horeca,3,4456,5266,13227,25,6818,1393
Cust422_Retail,3,17063,4847,9053,1031,3415,1784
Cust423_Horeca,3,26400,1377,4172,830,948,1218
Cust424_Retail,3,17565,3686,4657,1059,1803,668
Cust425_Retail,3,16980,2884,12232,874,3213,249
Cust426_Horeca,3,11243,2408,2593,15348,108,1886
Cust427_Horeca,3,13134,9347,14316,3141,5079,1894
Cust428_Horeca,3,31012,16687,5429,15082,439,1163
Cust429_Horeca,3,3047,5970,4910,2198,850,317
Cust430_Horeca,3,8607,1750,3580,47,84,2501
Cust431_Horeca,3,3097,4230,16483,575,241,2080
Cust432_Horeca,3,8533,5506,5160,13486,1377,1498
Cust433_Horeca,3,21117,1162,4754,269,1328,395
Cust434_Horeca,3,1982,3218,1493,1541,356,1449
Cust435_Horeca,3,16731,3922,7994,688,2371,838
Cust436_Horeca,3,29703,12051,16027,13135,182,2204
Cust437_Horeca,3,39228,1431,764,4510,93,2346
Cust438_Retail,3,14531,15488,30243,437,14841,1867
Cust439_Horeca,3,10290,1981,2232,1038,168,2125
Cust440_Horeca,3,2787,1698,2510,65,477,52
